Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2022,IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,45.87,64.0,71.05,18.2,48.13,67.27,27.35
2022,IR-E-U-0092,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,45.71,65.0,55.62,34.76,61.22,56.62,7.0
2022,IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,45.52,66.0,63.2,19.8,64.43,65.87,11.37
2022,IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,45.17,67.0,66.1,19.82,61.92,55.17,14.94
2022,IR-E-U-0878,Indian Institute of Technology Palakkad,Palakkad,Kerala,44.92,68.0,70.69,12.11,60.25,63.9,16.43
2022,IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,44.79,69.0,50.13,34.83,69.3,42.55,11.78
2022,IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,44.63,70.0,54.91,30.47,62.3,59.06,6.54
2022,IR-E-U-0297,Defence Institute of Advanced Technology,Pune,Maharashtra,44.62,71.0,62.13,36.01,53.95,41.33,2.64
2022,IR-E-C-41593,"College of Engineering, Pune",Pune,Maharashtra,44.38,72.0,62.33,17.1,65.13,51.65,23.51
2022,IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,44.16,73.0,62.4,17.13,64.51,50.18,23.82
2022,IR-E-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,44.02,74.0,55.21,33.02,52.63,47.6,22.57
2022,IR-E-U-0749,"Manipal University, Jaipur",Jaipur,Rajasthan,43.83,75.0,63.55,24.44,56.67,59.54,1.6
2022,IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,42.77,76.0,65.66,27.4,44.02,53.95,6.54
2022,IR-E-C-24004,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,42.76,77.0,61.41,11.74,72.13,56.02,7.91
2022,IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,42.56,78.0,52.59,20.54,71.53,56.11,7.0
2022,IR-E-C-6379,Netaji Subhas University of Technology (NSUT),South West,Delhi,42.14,79.0,52.77,19.49,68.51,44.45,23.2
2022,IR-E-U-0493,National Institute of Technology Agartala,Agratala,Tripura,41.92,80.0,56.59,25.45,54.18,59.63,5.12
2022,IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,41.91,81.0,55.22,16.15,63.61,59.96,17.88
2022,IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",Jabalpur,Madhya Pradesh,41.79,82.0,45.77,28.74,66.45,59.38,2.12
2022,IR-E-C-1262,B.M.S. College of Engineering,Bengaluru,Karnataka,41.71,83.0,59.49,15.53,60.73,52.29,18.23
2022,IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,41.35,84.0,54.81,31.13,44.9,63.79,2.12
2022,IR-E-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,41.1,85.0,51.93,19.32,59.66,48.59,29.29
2022,IR-E-C-45375,"National Institute of Food Technology, Entrepreneurship and Management - Thanjavur (NIFTEM - Thanjavur)",Thanjavur,Tamil Nadu,41.06,86.0,71.86,14.18,46.47,56.98,2.64
2022,IR-E-U-0080,"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,Chandigarh,41.05,87.0,50.68,17.94,65.84,53.67,19.27
2022,IR-E-U-0620,National Institute of Technology Goa,Ponda,Goa,40.78,88.0,54.95,22.51,54.51,58.12,8.36
2022,IR-E-C-1269,R.V. College of Engineering,Bengaluru,Karnataka,40.73,89.0,61.27,16.36,55.3,50.75,12.99
2022,IR-E-U-0207,"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,40.71,90.0,53.43,19.09,67.16,46.77,8.36
